Search term,Domain,Search term level
Adult health statistics,Health and Social care,Medium
Allowance statistics ,Labour Market and Welfare,Medium
Benefit statistics ,Labour Market and Welfare,High
EU trade statistics ,"Business, Trade and International Development",Low
Health statistics ,Health and Social care,High
Housing benefits statistics ,"Housing, Planning and Local Services",Medium
Inflation statistics ,Economy,High
Jobs statistics ,Labour Market and Welfare,High
Literacy rate ,"Children, Education and Skills",Low
Manufacturing statistics ,"Business, Trade and International Development",Medium
Mortgage statistics ,"Housing, Planning and Local Services",Medium
Obesity statistics ,Health and Social care,Medium
Open university statistics ,"Children, Education and Skills",Medium
Parks statistics ,"Housing, Planning and Local Services",High
Pensions statistics ,Economy,Medium
Police statistics ,Crime and Security,High
Religion statistics ,Population and Society,High
Social care statistics ,Health and Social care,High
Transport statistics ,"Travel, Transport and Tourism",High
